FDC_FDP,Type,Description,Parent Site,City,House No,Floor No,Street Type,Street Name,Section,Building,Postcode,State,Country,Latitude,Longitude,Site Inst ID,Status,Google Maps Link,Source File,Duplicate Source Files,Source_File
RNU_C002M,FDC,MINI FDC,RNU,RANAU,,,JALAN,PORING,KAMPUNG PORING,,89308.0,SABAH,MALAYSIA,6.041438298,116.7075264,5320932,In Service,"https://www.google.com/maps?q=6.041438298,116.7075264",RNU_C002M.csv,,
RNU_C002M_DP0001,DP,DP,RNU,RANAU,,,JALAN,PORING,KAMPUNG PORING,,89308.0,SABAH,MALAYSIA,6.040974674,116.7101683,5320939,In Service,"https://www.google.com/maps?q=6.040974674,116.7101683",RNU_C002M.csv,,
RNU_C002M_DP0002,DP,DP,RNU,RANAU,,2,JALAN,PORING,KAMPUNG PORING,,89308.0,SABAH,MALAYSIA,6.041694385,116.7062501,5367900,In Service,"https://www.google.com/maps?q=6.041694385,116.7062501",RNU_C002M.csv,,
RNU_C002M_DP0003,DP,DP,RNU,RANAU,19,,JALAN,PORING,KAMPUNG PORING,,89308.0,SABAH,MALAYSIA,6.034603986,116.7177984,6529690,In Service,"https://www.google.com/maps?q=6.034603986,116.7177984",RNU_C002M.csv,,
RNU_C002M_DP0004,DP,DP,RNU,RANAU,33,,JALAN,PORING,KAMPUNG PORING,,89308.0,SABAH,MALAYSIA,6.045580912,116.703805,6529902,In Service,"https://www.google.com/maps?q=6.045580912,116.703805",RNU_C002M.csv,,
RNU_C002M_DP0005,DP,DP,RNU,RANAU,41,,JALAN,PORING,KAMPUNG PORING,,89308.0,SABAH,MALAYSIA,6.043845152,116.7034551,6529906,In Service,"https://www.google.com/maps?q=6.043845152,116.7034551",RNU_C002M.csv,,
RNU_C002M_DP0006,DP,DP,RNU,RANAU,51,,JALAN,PORING,KAMPUNG PORING,,89308.0,SABAH,MALAYSIA,6.041029859,116.7100839,6730777,In Service,"https://www.google.com/maps?q=6.041029859,116.7100839",RNU_C002M.csv,,
RNU_C002M_DP0007,DP,DP,RNU,RANAU,61,,JALAN,PORING,KAMPUNG PORING,,89308.0,SABAH,MALAYSIA,6.041418105,116.7080926,6730791,In Service,"https://www.google.com/maps?q=6.041418105,116.7080926",RNU_C002M.csv,,
RNU_C002M_DP003A,FTB,DP,RNU,RANAU,23,,JALAN,PORING,KAMPUNG PORING,,89308.0,SABAH,MALAYSIA,6.033810112,116.7212547,6730879,In Service,"https://www.google.com/maps?q=6.033810112,116.7212547",RNU_C002M.csv,,
RNU_C002M_DP004A,FTB,DP,RNU,RANAU,37,,JALAN,PORING,KAMPUNG PORING,HOTSPRING,89308.0,SABAH,MALAYSIA,6.047316804,116.7036973,6730926,In Service,"https://www.google.com/maps?q=6.047316804,116.7036973",RNU_C002M.csv,,
RNU_C002M_DP005A,FTB,DP,RNU,RANAU,45,,JALAN,PORING,KAMPUNG PORING,KWARTERS HOTSPRING,89308.0,SABAH,MALAYSIA,6.042939812,116.7026578,6730895,In Service,"https://www.google.com/maps?q=6.042939812,116.7026578",RNU_C002M.csv,,
RNU_C003M,FDC,MINI FDC,RNU,RANAU,BERDEKATAN MSAN CABINET,,JALAN,LOHAN BONGKUD,KAMPUNG LOHAN,,89308.0,SABAH,MALAYSIA,5.99854405,116.7177298,5313819,In Service,"https://www.google.com/maps?q=5.99854405,116.717729822",RNU_C003M.csv,,
